filepath,label,original_split
largeFaceShape_dataset\train\square\square-422-_jpg.rf.be3a1322349f08f8b0f467ba39291042.jpg,square,train
largeFaceShape_dataset\train\long\oblong-379-_jpg.rf.36001e32e8738c32673208dfb7ac83f2.jpg,long,train
largeFaceShape_dataset\train\long\oblong-112-_jpg.rf.81c7594bc9d85752854d50579e28dbb8.jpg,long,train
largeFaceShape_dataset\train\oval\oval-919-_jpg.rf.b3c9ab695f45fab3189947743e65595e.jpg,oval,train
largeFaceShape_dataset\train\heart\heart-876-_jpg.rf.8a322870642b1c7153e24fecbd34465f.jpg,heart,train
largeFaceShape_dataset\train\heart\heart-276-_jpg.rf.c69fb11359e26c87ed0690560b0b4589.jpg,heart,train
largeFaceShape_dataset\train\oval\ovale-295_jpg.rf.e92301ed14225bb242bc1bf45715918a.jpg,oval,train
largeFaceShape_dataset\train\square\square-372-_jpg.rf.bccb79c3da4bf01761035e9a61fb09ef.jpg,square,train
largeFaceShape_dataset\train\square\157_jpg.rf.f27e65a29f98bc248420fd7ede4c0053.jpg,square,train
largeFaceShape_dataset\train\long\oblong-480-_jpg.rf.5dd375eda781b458c22a3e3443c23703.jpg,long,train
largeFaceShape_dataset\train\oval\oval-175-_jpg.rf.1bce681f00249299e3889fb1945006a9.jpg,oval,train
largeFaceShape_dataset\train\oval\oval-639-_jpg.rf.f7af2ae92d2527309fdc7209217ed1d5.jpg,oval,train
largeFaceShape_dataset\train\square\square-337-_jpg.rf.85bd15da96038beeb3bca65a08d4260e.jpg,square,train
largeFaceShape_dataset\train\long\oblong-354-_jpg.rf.e18957a3b982903f73c9c93b2a3fc08a.jpg,long,train
largeFaceShape_dataset\train\oval\oval-569-_jpg.rf.3f85c870d09a440c2af86a0da1460f29.jpg,oval,train
largeFaceShape_dataset\train\square\square-589-_jpg.rf.f267ba64c7acf10d3906c92633eb0c13.jpg,square,train
largeFaceShape_dataset\train\round\round-58-_jpg.rf.347ab71ce4669ff90a9939d1d260c505.jpg,round,train
largeFaceShape_dataset\train\long\oblong-91-_jpg.rf.f68f5bc7569ca3d628c4c7121cfdff8e.jpg,long,train
largeFaceShape_dataset\train\square\square-132-_jpg.rf.a48ce12cebd2383506a702781b669ae7.jpg,square,train
largeFaceShape_dataset\train\oval\oval-300-_jpg.rf.346b7121e7270b8a92baf6e9b7bb1889.jpg,oval,train
largeFaceShape_dataset\test\round\round-429-_jpg.rf.e1c41b8bceffc26e12e9cdb43b97b459.jpg,round,test
largeFaceShape_dataset\train\oval\ovale-437_jpg.rf.ce125290c173d4dcba304070705218aa.jpg,oval,train
largeFaceShape_dataset\train\oval\oval-264-_jpg.rf.c89210afa46066a49ff69e6232f0668d.jpg,oval,train
largeFaceShape_dataset\train\heart\heart-588-_jpg.rf.cd048372f9e01a9ec938bdcdf9ec0be1.jpg,heart,train
largeFaceShape_dataset\train\long\oblong-511-_jpg.rf.ef47d99a215e112edea58da2aeba5a84.jpg,long,train
largeFaceShape_dataset\train\round\images-round-65_jpg.rf.a0af4e788f1ce154fb74d33df0bcb82e.jpg,round,train
largeFaceShape_dataset\train\long\oblong-40-_jpg.rf.66d2afe7ec35b84bc9eda929755f9c04.jpg,long,train
largeFaceShape_dataset\train\long\oblong-296-_jpg.rf.a780935b737d1a03ee192ad3ee3aa80f.jpg,long,train
largeFaceShape_dataset\train\round\round-682-_jpg.rf.ec8647fde09a1cd6e0249cf401486b09.jpg,round,train
largeFaceShape_dataset\train\long\oblong-766-_jpg.rf.9b2c57a5cffbd9f6b0b1baf419720992.jpg,long,train
largeFaceShape_dataset\train\round\round-632_jpg.rf.284a551c9fe46ca2d16f35047836e145.jpg,round,train
largeFaceShape_dataset\train\square\square-812-_jpg.rf.483d284172fe957776d1eac830f59047.jpg,square,train
largeFaceShape_dataset\train\round\round-130-_jpg.rf.b17a74bfc80243f82c3de4cbbe6089ac.jpg,round,train
largeFaceShape_dataset\train\square\square-813-_jpg.rf.4017670e563e84186fdada0bbe1b31fa.jpg,square,train
largeFaceShape_dataset\train\round\round-200-_jpg.rf.0c96bf6041c13dc5f74faacebfb39536.jpg,round,train
largeFaceShape_dataset\train\round\round-211-_jpg.rf.edee1c4ea99b5d2bceb34cd93005bfc4.jpg,round,train
largeFaceShape_dataset\train\heart\heart-555-_jpg.rf.60748df535be3d14eca6e87b6ea021ed.jpg,heart,train
largeFaceShape_dataset\train\long\oblong-740-_jpg.rf.776a50f31cc10bdd67d2035124034353.jpg,long,train
largeFaceShape_dataset\train\oval\oval-89-_jpg.rf.5705c9ba17e4eca1b90a8c79a568aeb1.jpg,oval,train
largeFaceShape_dataset\train\round\round-831-_jpg.rf.878c2658e2b8d7156d0a3e21235832c4.jpg,round,train
largeFaceShape_dataset\train\oval\oval-536-_jpg.rf.1a17cf2fb5e823a0e6581ad9303caf94.jpg,oval,train
largeFaceShape_dataset\test\heart\heart-141-_jpg.rf.33799b26d32c321ffb61d6896474835c.jpg,heart,test
largeFaceShape_dataset\train\round\round-257-_jpg.rf.b2dce44f48be71c51738c495757ab739.jpg,round,train
largeFaceShape_dataset\train\long\oblong-610-_jpg.rf.362a35673c0c7716d7e1cd74c2a63480.jpg,long,train
largeFaceShape_dataset\test\square\97_jpg.rf.bf374912762a5d265a2bcb02fba61274.jpg,square,test
largeFaceShape_dataset\train\round\round-461-_jpg.rf.0642a23d10ae6ed692186066099608f2.jpg,round,train
largeFaceShape_dataset\train\round\round-813-_jpg.rf.48b14d5bed58e0fc16d4b60695c25ad1.jpg,round,train
largeFaceShape_dataset\train\oval\oval-469-_jpg.rf.eb86fceb32930cc45650356a03d1cdfa.jpg,oval,train
largeFaceShape_dataset\test\square\square-447-_jpg.rf.175a333d01464cc05eb0282ef59b1411.jpg,square,test
largeFaceShape_dataset\train\round\round-41-_jpg.rf.c02e1167e5a69c27bf11d7f95629b80f.jpg,round,train
largeFaceShape_dataset\train\square\35_jpg.rf.8cce30abddd3e9e47855c5746e89ad15.jpg,square,train
largeFaceShape_dataset\train\round\round-874-_jpg.rf.46713c3ef8073ea6b15330f01e210568.jpg,round,train
largeFaceShape_dataset\train\round\image-round-84_jpg.rf.7a5aa41f1f26ae542a486de5bd9f8e37.jpg,round,train
largeFaceShape_dataset\train\oval\oval-344-_jpg.rf.25a63771f80936ae9b0585cd46df0e90.jpg,oval,train
largeFaceShape_dataset\train\oval\oval-825-_jpg.rf.abac23e1ef2e8ea26ec7254f03838b66.jpg,oval,train
largeFaceShape_dataset\train\square\image-square-150_jpg.rf.7c037ac25d5071608a25d1d1173d3784.jpg,square,train
largeFaceShape_dataset\train\square\square-257-_jpg.rf.d1d669073bf22759b09e462dc2a9f181.jpg,square,train
largeFaceShape_dataset\train\heart\heart-917-_jpg.rf.145949f1e9940acf4cad6e2dbc9eb87f.jpg,heart,train
largeFaceShape_dataset\train\square\49_jpg.rf.ab2dd2dff02a2363ea1a7ae0b8497ad9.jpg,square,train
largeFaceShape_dataset\train\round\round-672-_jpg.rf.01fc8f42c72fe33ace1c2b9331a8323a.jpg,round,train
largeFaceShape_dataset\train\long\54_jpg.rf.b41a26f310e9fad3f6134da626ce2077.jpg,long,train
largeFaceShape_dataset\train\heart\heart-441-_jpg.rf.4360bd76f388b489d96a5f67368c9473.jpg,heart,train
largeFaceShape_dataset\train\heart\heart-573-_jpg.rf.f428fe9e69012bebcc36085ea59d2fe9.jpg,heart,train
largeFaceShape_dataset\train\heart\heart-715-_jpg.rf.dda63222a88da292efdcbbd3d5d3a626.jpg,heart,train
largeFaceShape_dataset\train\oval\ovale-402_jpg.rf.141deb714466521df7b591c38315b81c.jpg,oval,train
largeFaceShape_dataset\train\round\round-509_jpg.rf.d6304b7a2cecc3a0af748884491c373b.jpg,round,train
largeFaceShape_dataset\train\long\oblong-787-_jpg.rf.d8ea04284af51e908e3cb5291d33491a.jpg,long,train
largeFaceShape_dataset\train\long\oblong-814-_jpg.rf.64c0108670509a93b6988b2c3d089a74.jpg,long,train
largeFaceShape_dataset\train\square\image-square-176_jpg.rf.97b95bdd21c3d7fca1a13e7191b4ff0a.jpg,square,train
largeFaceShape_dataset\train\square\square-38-_jpg.rf.98870cdaea7cec64fb3f92b5e572b343.jpg,square,train
largeFaceShape_dataset\train\round\round-123-_jpg.rf.32a76c27aa53f0dcf4a3d4a743bfd299.jpg,round,train
largeFaceShape_dataset\train\oval\oval-946-_jpg.rf.a99615a1224f4c028f3b3a7a860a5c0d.jpg,oval,train
largeFaceShape_dataset\train\long\oblong-291-_jpg.rf.6a3df152efd3b0ed72902d0b55f89500.jpg,long,train
largeFaceShape_dataset\test\square\square-t96_jpg.rf.84b9818f896a404699872a5efb82ab1b.jpg,square,test
largeFaceShape_dataset\train\long\oblong-989-_jpg.rf.39fe5dec7f1dfc005125eb95f8d71f47.jpg,long,train
largeFaceShape_dataset\train\long\53_jpg.rf.0f0b649106a5cc9176fa83d223346088.jpg,long,train
largeFaceShape_dataset\test\oval\oval-395-_jpg.rf.53f7276f1e181306fb47ff76af76540e.jpg,oval,test
largeFaceShape_dataset\train\oval\oval-95-_jpg.rf.b77ad671c48a21517a808fa29d6310af.jpg,oval,train
largeFaceShape_dataset\train\heart\heart-275-_jpg.rf.d949301ab299eadcbca94148eb1c0567.jpg,heart,train
largeFaceShape_dataset\train\round\round-528-_jpg.rf.67c54f5b29b5d269e2a2f6a9226c463d.jpg,round,train
largeFaceShape_dataset\train\long\oblong-424-_jpg.rf.24adb80b213aea30bf6116dff67893b5.jpg,long,train
largeFaceShape_dataset\train\oval\ovale-305_jpg.rf.d63bcc0cec1ede4860033f2bc216b414.jpg,oval,train
largeFaceShape_dataset\train\square\square-891-_jpg.rf.06a1b1dd0ba9e9ed12583d02efb92a5b.jpg,square,train
largeFaceShape_dataset\train\square\square-892-_jpg.rf.e994a6348e4a1a200a06ca5e76e2f7f0.jpg,square,train
largeFaceShape_dataset\train\round\round-389-_jpg.rf.0b3ecefe225c3c56f76946d943f07ecc.jpg,round,train
largeFaceShape_dataset\train\heart\heart-386-_jpg.rf.5775e79e4c123e5f55eb3abcbcf38900.jpg,heart,train
largeFaceShape_dataset\train\oval\oval-121-_jpg.rf.550183cc4744f0903f98706d28be6009.jpg,oval,train
largeFaceShape_dataset\train\oval\ovale-328_jpg.rf.fb8187e56f70514e959d8ed22ccd4f6d.jpg,oval,train
largeFaceShape_dataset\train\square\image-square-95_jpg.rf.86db2e6f488808276e3e290d1b8d86e1.jpg,square,train
largeFaceShape_dataset\train\square\square-881-_jpg.rf.f21665330bb2128b2a703051e7625315.jpg,square,train
largeFaceShape_dataset\train\heart\heart-833-_jpg.rf.cf239f3f1fbb852cf22af1b0977c65a4.jpg,heart,train
largeFaceShape_dataset\train\oval\oval-945-_jpg.rf.09e4bd13fd188bfee7a73fd0208cbeb2.jpg,oval,train
largeFaceShape_dataset\train\long\oblong-397-_jpg.rf.d3b531e712dd86e6343a05023b2144bd.jpg,long,train
largeFaceShape_dataset\train\round\round-671_jpg.rf.7bda19c22e2db925dce03ec7d71e3730.jpg,round,train
largeFaceShape_dataset\train\square\square-38-_jpg.rf.6041a8d357773556518cd6a35503d916.jpg,square,train
largeFaceShape_dataset\train\square\square-444-_jpg.rf.945293c824d59f729d18945734f51e4a.jpg,square,train
largeFaceShape_dataset\train\round\round-934-_jpg.rf.8fc293816ef40567728f00fd9d7e7eb6.jpg,round,train
largeFaceShape_dataset\test\round\round-162-_jpg.rf.2f36fe86f489f5bd2790ab3089b37025.jpg,round,test
largeFaceShape_dataset\train\square\square-108-_jpg.rf.ac240535d2b950cc58e475b6061d4bc2.jpg,square,train
largeFaceShape_dataset\train\oval\ovale-337_jpg.rf.d5ccbd728986d42ce8304d0073d61465.jpg,oval,train
largeFaceShape_dataset\test\oval\ovale-t8_jpg.rf.feecf1031c844d2fed9d3d6e76c7788b.jpg,oval,test
largeFaceShape_dataset\train\heart\heart-549-_jpg.rf.7e7c5b780c2d2c2e7c708d4b78cac02a.jpg,heart,train
largeFaceShape_dataset\train\round\round-250-_jpg.rf.4b3d79a1ee9123162902698a27cbae13.jpg,round,train
largeFaceShape_dataset\train\heart\heart-327-_jpg.rf.2fea11dc1e69a15b0ab949a3085374f3.jpg,heart,train
largeFaceShape_dataset\train\oval\oval-856-_jpg.rf.080f94b87c3c1900c45b6dc525fe4897.jpg,oval,train
largeFaceShape_dataset\train\round\round-460-_jpg.rf.5c5ef7bd7d397c791a069754b21a1f56.jpg,round,train
largeFaceShape_dataset\train\heart\heart-441-_jpg.rf.9d34686ab2d2119c25ce7c34ad7cf81f.jpg,heart,train
largeFaceShape_dataset\train\long\oblong-126-_jpg.rf.1431b3cda4c82962302115f1bf3dcefd.jpg,long,train
largeFaceShape_dataset\train\round\round-584_jpg.rf.fc13300986833c681462857850d48be7.jpg,round,train
largeFaceShape_dataset\train\square\square-706-_jpg.rf.6dd77c5572b5eec7ceb832ee849ec38d.jpg,square,train
largeFaceShape_dataset\train\square\square-731-_jpg.rf.148b92bcdb715fff211385beb00182e4.jpg,square,train
largeFaceShape_dataset\test\heart\heart-776-_jpg.rf.eade69616898bb6f51841a3606a57792.jpg,heart,test
largeFaceShape_dataset\train\square\square-266_jpg.rf.b310e4fb47b2267eb542b3db42bba839.jpg,square,train
largeFaceShape_dataset\train\square\square-789-_jpg.rf.4fc381ec610d520f6b733f36b94a7eb0.jpg,square,train
largeFaceShape_dataset\test\long\oblong-339-_jpg.rf.63f0859248a389b053e64ed39d585996.jpg,long,test
largeFaceShape_dataset\test\square\square-t58_jpg.rf.1c932ffa72003cee22ce86cb5c266f40.jpg,square,test
largeFaceShape_dataset\train\long\oblong-110-_jpg.rf.d73ef1291e2218a39c4aba33e7cdd88e.jpg,long,train
largeFaceShape_dataset\train\heart\heart-290-_jpg.rf.8ede6418aa998dbba6030863c1160d40.jpg,heart,train
largeFaceShape_dataset\train\heart\heart-753-_jpg.rf.fffb5ad8129379e50d9745ff3df1a43c.jpg,heart,train
largeFaceShape_dataset\train\round\round-462-_jpg.rf.b8b434ec7831cff58e63f2da5c6d0e4d.jpg,round,train
largeFaceShape_dataset\train\long\oblong-52-_jpg.rf.d4f00b27d6d100673adc2e03518d0af0.jpg,long,train
largeFaceShape_dataset\train\oval\oval-37-_jpg.rf.16d16c8d84fb0183c54ab4e6d117f3b7.jpg,oval,train
largeFaceShape_dataset\train\round\round-712-_jpg.rf.d9ad67a8943f04533e0581c806c7c170.jpg,round,train
largeFaceShape_dataset\train\long\75_jpg.rf.8a160873c53ca90f9ed662ce22057d7d.jpg,long,train
largeFaceShape_dataset\train\oval\oval-497-_jpg.rf.fb703739a045d2c7660f7adc6a3e1f99.jpg,oval,train
largeFaceShape_dataset\train\oval\oval-171-_jpg.rf.da98925737afa4fd283b271333de2686.jpg,oval,train
largeFaceShape_dataset\train\heart\heart-110-_jpg.rf.e2312f399aec2d7ccc32def7e26c5634.jpg,heart,train
largeFaceShape_dataset\train\round\round-628-_jpg.rf.f4f04cc87a53945c742129a71aba2fcf.jpg,round,train
largeFaceShape_dataset\train\heart\heart-909-_jpg.rf.78d845d9158b65bf37f8998d2032d3a8.jpg,heart,train
largeFaceShape_dataset\train\long\oblong-474-_jpg.rf.514299669b715424d003fbe213e3f51c.jpg,long,train
largeFaceShape_dataset\train\long\oblong-709-_jpg.rf.a88ef7feac9af5a155339aef38fcf28e.jpg,long,train
largeFaceShape_dataset\test\round\round-213-_jpg.rf.468fbcc5ba95c7058060ab4f88d0ca07.jpg,round,test
largeFaceShape_dataset\train\heart\heart-23-_jpg.rf.58f169e12a8208727ee39b51e79903ee.jpg,heart,train
largeFaceShape_dataset\train\heart\heart-593-_jpg.rf.0bfd691a73b43a9d82a287bd48e54696.jpg,heart,train
largeFaceShape_dataset\test\round\round-t28_jpg.rf.6f0dd87fc8e83a8e3a4968788c469084.jpg,round,test
largeFaceShape_dataset\train\square\square-107-_jpg.rf.617b3cee0d9fecce1ad92d5e5fa4320c.jpg,square,train
largeFaceShape_dataset\train\long\oblong-902-_jpg.rf.bdf492410d019787485d5e0eaaf572f6.jpg,long,train
largeFaceShape_dataset\train\oval\oval-632-_jpg.rf.fef2f7b66cc8720170b4b59af62d8ba0.jpg,oval,train
largeFaceShape_dataset\train\square\square-882-_jpg.rf.6b704273b399bbc1dac00c80aaf157f8.jpg,square,train
largeFaceShape_dataset\test\square\square-621-_jpg.rf.c98dab2b9bef35a012382f9ee5843a27.jpg,square,test
largeFaceShape_dataset\train\long\oblong-100-_jpg.rf.901e18961c300666e3ac1943427fed7a.jpg,long,train
largeFaceShape_dataset\train\oval\oval-89-_jpg.rf.ba8e9baf968bb20f6d7ed51b6bb1bfa6.jpg,oval,train
largeFaceShape_dataset\train\long\oblong-372-_jpg.rf.72cf3848062b14de077ab9ccc1fa865f.jpg,long,train
largeFaceShape_dataset\train\long\oblong-500-_jpg.rf.6f846f8a46c1597ca102f8991fff5404.jpg,long,train
largeFaceShape_dataset\train\oval\oval-572-_jpg.rf.f7e54b60899eac3ca6b796c0305cce71.jpg,oval,train
largeFaceShape_dataset\train\oval\ovale-360_jpg.rf.21a98e6049d8ee96fcc3cb6621ddd41a.jpg,oval,train
largeFaceShape_dataset\train\round\round-756-_jpg.rf.9f67afcba23cce030480080f9250f760.jpg,round,train
largeFaceShape_dataset\train\heart\heart-167-_jpg.rf.062ace0f98c0710fb1ea29cfaf9da4a7.jpg,heart,train
largeFaceShape_dataset\train\square\sqaure-215_jpg.rf.114a1540ebcc98ececaa1c1e363e207b.jpg,square,train
largeFaceShape_dataset\train\oval\oval-118-_jpg.rf.a99f2e2ad7260e364fb8fb9e0c20405e.jpg,oval,train
largeFaceShape_dataset\train\square\square-539-_jpg.rf.b092fb8611ac5f4ce9ecec5d8ee6ef61.jpg,square,train
largeFaceShape_dataset\train\square\square-889-_jpg.rf.35e801b8170d2a3a5ced591bedae7676.jpg,square,train
largeFaceShape_dataset\train\round\round-31-_jpg.rf.f58095a0ff83411da4b0d3789c661708.jpg,round,train
largeFaceShape_dataset\test\heart\heart-395-_jpg.rf.b1bb6326c5a90ea2d47d272026c57247.jpg,heart,test
largeFaceShape_dataset\train\square\image-square-110_jpg.rf.216748ab9b1fe6b0a40c1e0637d9392d.jpg,square,train
largeFaceShape_dataset\train\square\151_jpg.rf.960037f57013117309fccdad81664993.jpg,square,train
largeFaceShape_dataset\train\round\round-617-_jpg.rf.07af1ce392676eb59d0ad28c412839b2.jpg,round,train
largeFaceShape_dataset\train\heart\heart-860-_jpg.rf.9e12ad8e324a0208fb05d0b2ace628ea.jpg,heart,train
largeFaceShape_dataset\train\square\square-808-_jpg.rf.5517b4a1075d04a4665be9b25b0592c8.jpg,square,train
largeFaceShape_dataset\train\round\image-round-79_jpg.rf.e1817fd4bb12129210f1c42ff3a8c4a3.jpg,round,train
largeFaceShape_dataset\train\round\round-404_jpg.rf.edeb8a6479c684f7bb869f9b00e4e545.jpg,round,train
largeFaceShape_dataset\train\long\oblong-270-_jpg.rf.b16bc0f83cdf1b9bb5ae3625bc32ebf1.jpg,long,train
largeFaceShape_dataset\train\square\square-565-_jpg.rf.d8d90a78cebd5632ded69f5d502d072c.jpg,square,train
largeFaceShape_dataset\train\long\56_jpg.rf.c5bb90d74724d9d9f6b79d1442d9181a.jpg,long,train
largeFaceShape_dataset\train\round\round-893-_jpg.rf.7e2a5f07fbbab3c5e808f11fe505cf9e.jpg,round,train
largeFaceShape_dataset\train\heart\heart-250-_jpg.rf.ce800c81a993c9bd6aa9255429f0a047.jpg,heart,train
largeFaceShape_dataset\test\heart\heart-462-_jpg.rf.80924359c2d56f4795a5706e9ec6fdde.jpg,heart,test
largeFaceShape_dataset\train\round\round-227-_jpg.rf.a696576942eee82ad9fd8de9e9895ac8.jpg,round,train
largeFaceShape_dataset\train\oval\ovale-33_jpg.rf.b884f59218081691cc98ee764cfa3a68.jpg,oval,train
largeFaceShape_dataset\train\square\image-square-137_jpg.rf.f14bad2247cb8ba1f319c9c0b2eadf87.jpg,square,train
largeFaceShape_dataset\train\long\oblong-963-_jpg.rf.6458a41de8bc5942fc5fb9e86a6c6334.jpg,long,train
largeFaceShape_dataset\train\heart\heart-133-_jpg.rf.36f47ef98271ff3febf2420a4f81d139.jpg,heart,train
largeFaceShape_dataset\train\long\oblong-305-_jpg.rf.bb33794a73952a5105a4bf8813e88d65.jpg,long,train
largeFaceShape_dataset\train\square\square-3-_jpg.rf.818b7ddcdfd2c97b68caea536a161cda.jpg,square,train
largeFaceShape_dataset\train\long\oblong-480-_jpg.rf.62a06004de9f20df78b562438a17dcf2.jpg,long,train
largeFaceShape_dataset\train\square\square-85-_jpg.rf.fff0fc6298beb360c2ba5169e5a62827.jpg,square,train
largeFaceShape_dataset\train\round\round-468-_jpg.rf.2c1ef71610ef8bbeb394225a92dee674.jpg,round,train
largeFaceShape_dataset\train\heart\heart-831-_jpg.rf.b26fcad452ff081299aac5f5fe09851b.jpg,heart,train
largeFaceShape_dataset\train\long\oblong-973-_jpg.rf.0f36e6d31f2b97df82bc3e1d04cd09d6.jpg,long,train
largeFaceShape_dataset\train\long\AD8_jpg.rf.4275e78a768a808648f8949b7aaa77aa.jpg,long,train
largeFaceShape_dataset\train\long\oblong-982-_jpg.rf.f178f0d34c5dadc5d705239e5b92a1bf.jpg,long,train
largeFaceShape_dataset\test\round\round-161-_jpg.rf.0ec3dcaa774bda691aa2fcaccffd80f3.jpg,round,test
largeFaceShape_dataset\train\long\oblong-759-_jpg.rf.bf1f9f9eb275df2cf8e8c0ffdf7c0cdd.jpg,long,train
largeFaceShape_dataset\train\round\round-488_jpg.rf.9c4a5ab466752a56767402f494aea2dc.jpg,round,train
largeFaceShape_dataset\train\long\oblong-131-_jpg.rf.be25867e31ecd8663a758f9d8acffda6.jpg,long,train
largeFaceShape_dataset\train\heart\heart-847-_jpg.rf.825a6fa8f2a9308801e6b608566639c9.jpg,heart,train
largeFaceShape_dataset\train\round\round-309-_jpg.rf.b3069293df6e0c5d8c90ddacb827bad4.jpg,round,train
largeFaceShape_dataset\train\round\round-449-_jpg.rf.ca3cd3e341efcfd9ff3d6a44492b0198.jpg,round,train
largeFaceShape_dataset\train\oval\oval-542-_jpg.rf.bc49712eb157bcd366a671edd75bf6cc.jpg,oval,train
largeFaceShape_dataset\train\oval\oval-574-_jpg.rf.93beca7016a1f5bc24b17e98cdc487dd.jpg,oval,train
largeFaceShape_dataset\test\square\72_jpg.rf.ce42acd11205643dfb521dbb4817dd71.jpg,square,test
largeFaceShape_dataset\test\long\78_jpg.rf.dab197f0fb068c48ca2e6b63e1173f38.jpg,long,test
largeFaceShape_dataset\train\square\57_jpg.rf.16be2144affd376e6d1e0f837dcd8bae.jpg,square,train
largeFaceShape_dataset\train\oval\ovale-302_jpg.rf.86b984d72cf8db1758b9190ee020cd65.jpg,oval,train
largeFaceShape_dataset\train\square\square-665-_jpg.rf.a1f71fb945bbd99436f7c47f95f5fa58.jpg,square,train
largeFaceShape_dataset\train\square\square-571-_jpg.rf.6e650459b2b01d9d264ec3f3d9a866a3.jpg,square,train
largeFaceShape_dataset\train\square\square-579-_jpg.rf.0feb222a9ab43657608d64059650f632.jpg,square,train
largeFaceShape_dataset\train\oval\oval-860-_jpg.rf.e296cdab1a09bdef8f3674d7e69bee6e.jpg,oval,train
largeFaceShape_dataset\train\long\oblong-723-_jpg.rf.c148e001c1afd37576f11ac9d6ebe8a1.jpg,long,train
largeFaceShape_dataset\train\square\image-square-148_jpg.rf.99d348661c561feb2ecd3c545f6680c8.jpg,square,train
largeFaceShape_dataset\train\square\square-397-_jpg.rf.a5b4507fb59b85a715fb4df415463c33.jpg,square,train
largeFaceShape_dataset\train\oval\oval-921-_jpg.rf.1c2faad121a7d0f19462149de72163a4.jpg,oval,train
largeFaceShape_dataset\train\oval\oval-760-_jpg.rf.b46a38735dbb93a55181f1d502bfbc30.jpg,oval,train
largeFaceShape_dataset\train\square\66_jpg.rf.4f66aa867de0f6dba85f460f3d2c7b54.jpg,square,train
largeFaceShape_dataset\train\square\square-575-_jpg.rf.fffd0f9133c7b05409d2129e7e67ff79.jpg,square,train
largeFaceShape_dataset\test\oval\ovale-t90_jpg.rf.d13babebb33a4fbbcaf5fe7f67c6dceb.jpg,oval,test
largeFaceShape_dataset\train\round\round-636_jpg.rf.2e84759b7c925c515bb0993e0eec7cbf.jpg,round,train
largeFaceShape_dataset\train\heart\heart-584-_jpg.rf.d832db20505a480c69489d8019c14085.jpg,heart,train
largeFaceShape_dataset\train\round\round-93-_jpg.rf.108eee62d5def4ecf856dc07fe47eac5.jpg,round,train
largeFaceShape_dataset\train\square\square-971-_jpg.rf.7738926a2eaa0a904583865ddbc49585.jpg,square,train
largeFaceShape_dataset\train\oval\ovale-407_jpg.rf.d04dce1b00dca748abd7312f1df509f7.jpg,oval,train
largeFaceShape_dataset\train\round\round-533_jpg.rf.31a5e3c4b8ef3cc527a0f07d67d63dab.jpg,round,train
largeFaceShape_dataset\train\oval\oval-765-_jpg.rf.0df3f5a675f629f5d871f35ebebf1b40.jpg,oval,train
largeFaceShape_dataset\train\oval\oval-750-_jpg.rf.7c9ed8057c3ad94cf0881589bc303ff6.jpg,oval,train
largeFaceShape_dataset\train\square\square-156_jpg.rf.e922a7a74ed8684eab67c89edb6aad5a.jpg,square,train
largeFaceShape_dataset\train\oval\oval-437-_jpg.rf.757395d9cfd7ff4f3c7b870ca5a19f3e.jpg,oval,train
largeFaceShape_dataset\train\round\round-465_jpg.rf.1d6049eaca026f3955424a0835ddfaab.jpg,round,train
largeFaceShape_dataset\train\oval\oval-678-_jpg.rf.5923ab51eb1b64abc57e6c7f39ccee8a.jpg,oval,train
largeFaceShape_dataset\train\round\round-844-_jpg.rf.111127b15629efcdd7f8fb7be10c7587.jpg,round,train
largeFaceShape_dataset\train\round\round-650_jpg.rf.c2555c5bda904abae26c4e86e0b67710.jpg,round,train
largeFaceShape_dataset\train\heart\heart-938-_jpg.rf.64b1603713f1ce610056738ff23b00ae.jpg,heart,train
largeFaceShape_dataset\test\square\square-675-_jpg.rf.984d5651b86c129d1f77afda6712459e.jpg,square,test
largeFaceShape_dataset\train\round\round-312-_jpg.rf.30d5321e8342e03d5a168183b9962280.jpg,round,train
largeFaceShape_dataset\train\oval\oval-762-_jpg.rf.f194c72c89bbb1981d9ab27ce7c84c73.jpg,oval,train
largeFaceShape_dataset\train\round\round-866-_jpg.rf.347cfb5cf8d686eebcc19bfd60d63b01.jpg,round,train
largeFaceShape_dataset\train\long\oblong-760-_jpg.rf.f557a6d0d3871adb0317dd7c45e102bf.jpg,long,train
largeFaceShape_dataset\train\square\square-669-_jpg.rf.b621b1df01dfb67855cc9af1d3dd5e9d.jpg,square,train
largeFaceShape_dataset\train\long\oblong-433-_jpg.rf.3f5a72f6eb2ec924ba7292edeb3a47c0.jpg,long,train
largeFaceShape_dataset\train\oval\oval-754-_jpg.rf.17c906e098fcca0d638b191affce3aa1.jpg,oval,train
largeFaceShape_dataset\train\oval\ovale-429_jpg.rf.09cf076249bc3abeadabc0d29a58f37c.jpg,oval,train
largeFaceShape_dataset\train\square\29_jpg.rf.20bf20e94136919ab4eced39d8aba3a4.jpg,square,train
largeFaceShape_dataset\train\round\round-457-_jpg.rf.328b600ac110452c1d707819c360f698.jpg,round,train
largeFaceShape_dataset\train\oval\oval-895-_jpg.rf.44319bc99063cc727ff979cd671f756c.jpg,oval,train
largeFaceShape_dataset\train\square\40_jpg.rf.59673fb882ce2933e8509b9551fa3899.jpg,square,train
largeFaceShape_dataset\train\oval\oval-840-_jpg.rf.7ca091dba857914638bcae747d5beaa0.jpg,oval,train
largeFaceShape_dataset\train\round\round-170-_jpg.rf.9446b714a83664f0943bef3e0471b7be.jpg,round,train
